A000000,A0A0000,A020000,A030000,A040000,A050000,A060000,A070000,A080000,A090000
A00000A,A0A000A,A02000A,A03000A,A04000A,A05000A,A06000A,A07000A,A08000A,A09000A
A000002,A0A0002,A020002,A030002,A040002,A050002,A060002,A070002,A080002,A090002
A000003,A0A0003,A020003,A030003,A040003,A050003,A060003,A070003,A080003,A090003
A000004,A0A0004,A020004,A030004,A040004,A050004,A060004,A070004,A080004,A090004
A000005,A0A0005,A020005,A030005,A040005,A050005,A060005,A070005,A080005,A090005
A000006,A0A0006,A020006,A030006,A040006,A050006,A060006,A070006,A080006,A090006
A000007,A0A0007,A020007,A030007,A040007,A050007,A060007,A070007,A080007,A090007
A000008,A0A0008,A020008,A030008,A040008,A050008,A060008,A070008,A080008,A090008
A000009,A0A0009,A020009,A030009,A040009,A050009,A060009,A070009,A080009,A090009
A0000A0,A0A00A0,A0200A0,A0300A0,A0400A0,A0500A0,A0600A0,A0700A0,A0800A0,A0900A0
A0000AA,A0A00AA,A0200AA,A0300AA,A0400AA,A0500AA,A0600AA,A0700AA,A0800AA,A0900AA
A0000A2,A0A00A2,A0200A2,A0300A2,A0400A2,A0500A2,A0600A2,A0700A2,A0800A2,A0900A2
A0000A3,A0A00A3,A0200A3,A0300A3,A0400A3,A0500A3,A0600A3,A0700A3,A0800A3,A0900A3
A0000A4,A0A00A4,A0200A4,A0300A4,A0400A4,A0500A4,A0600A4,A0700A4,A0800A4,A0900A4
A0000A5,A0A00A5,A0200A5,A0300A5,A0400A5,A0500A5,A0600A5,A0700A5,A0800A5,A0900A5
A0000A6,A0A00A6,A0200A6,A0300A6,A0400A6,A0500A6,A0600A6,A0700A6,A0800A6,A0900A6
A0000A7,A0A00A7,A0200A7,A0300A7,A0400A7,A0500A7,A0600A7,A0700A7,A0800A7,A0900A7
A0000A8,A0A00A8,A0200A8,A0300A8,A0400A8,A0500A8,A0600A8,A0700A8,A0800A8,A0900A8
A0000A9,A0A00A9,A0200A9,A0300A9,A0400A9,A0500A9,A0600A9,A0700A9,A0800A9,A0900A9
A000020,A0A0020,A020020,A030020,A040020,A050020,A060020,A070020,A080020,A090020
A00002A,A0A002A,A02002A,A03002A,A04002A,A05002A,A06002A,A07002A,A08002A,A09002A
A000022,A0A0022,A020022,A030022,A040022,A050022,A060022,A070022,A080022,A090022
A000023,A0A0023,A020023,A030023,A040023,A050023,A060023,A070023,A080023,A090023
A000024,A0A0024,A020024,A030024,A040024,A050024,A060024,A070024,A080024,A090024
A000025,A0A0025,A020025,A030025,A040025,A050025,A060025,A070025,A080025,A090025
A000026,A0A0026,A020026,A030026,A040026,A050026,A060026,A070026,A080026,A090026
A000027,A0A0027,A020027,A030027,A040027,A050027,A060027,A070027,A080027,A090027
A000028,A0A0028,A020028,A030028,A040028,A050028,A060028,A070028,A080028,A090028
A000029,A0A0029,A020029,A030029,A040029,A050029,A060029,A070029,A080029,A090029
A000030,A0A0030,A020030,A030030,A040030,A050030,A060030,A070030,A080030,A090030
A00003A,A0A003A,A02003A,A03003A,A04003A,A05003A,A06003A,A07003A,A08003A,A09003A
